2021-11-19 08:00:01, 요일
2021-11-19 08:01:35, 전화번호
2021-11-18 08:05:39, 요일
2019-11-15 08:06:42, 요일
2019-11-15 08:06:43, 요일
2021-11-19 08:08:13, 요일
2019-11-15 08:09:13, 요일
2019-11-15 08:09:13, 요일
2021-11-19 08:10:17, 요일
2021-11-19 08:10:27, 요일
2021-11-19 08:13:02, 햄버거
2021-11-19 08:13:56, 콜센터
2021-11-19 08:15:47, 번호
2021-11-19 08:20:47, 요일
2021-11-19 08:20:56, 콜센터
2021-11-19 08:21:05, 전화번호
11-19 08:24:06, 요일
11월-19일 08시25분27초, 요일
11월-19일 08시 26분 02초, 요일
10월-17일 08시 26분 52초, 요일
10월-17일 08시 29분 49초, hello
10월-17일 08시 30분 00초, 요일
10월-17일 08시 30분 12초, 햄버거
10월-17일 08시 30분 22초, 전화번호
10월-17일 08시 30분 33초, 콜센터
11월-19일 08시 34분 31초, 전화번호
11월-19일 08시 35분 26초, 전번
11월-19일 08시 47분 31초, 계속해서 매섭게 쏘겠어
11월-19일 08시 47분 42초, 정상수
